batch_id,input_symbol,input_company_name,nse_symbol,isin,legal_company_name,common_company_name,normalized_symbol,company_name_key,processed_status,processed_date,curation_status,overall_confidence,latest_annual_report_financial_year,source_profile_file,notes
nifty_50_shariah,ASIANPAINT,ASIAN PAINTS LTD.,ASIANPAINT,INE021A01026,Asian Paints Limited,Asian Paints Limited,ASIANPAINT,ASIAN PAINTS,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,CIPLA,CIPLA LTD.,CIPLA,INE059A01026,Cipla Limited,Cipla Limited,CIPLA,CIPLA,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,DRREDDY,DR.REDDY'S LABORATORIES LTD.,DRREDDY,INE089A01031,Dr. Reddy's Laboratories Limited,Dr. Reddy's Laboratories Limited,DRREDDY,DR REDDYS LABORATORIES,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,HCLTECH,HCL TECHNOLOGIES LTD.,HCLTECH,INE860A01027,HCL Technologies Limited,HCL Technologies Limited,HCLTECH,HCL TECHNOLOGIES,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,HINDALCO,Hindalco Industries,HINDALCO,INE038A01020,Hindalco Industries Limited,Hindalco Industries Limited,HINDALCO,HINDALCO INDUSTRIES,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,HINDUNILVR,HINDUSTAN UNILEVER LTD.,HINDUNILVR,INE030A01027,Hindustan Unilever Limited,Hindustan Unilever Limited,HINDUNILVR,HINDUSTAN UNILEVER,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,INFY,INFOSYS LTD.,INFY,INE009A01021,Infosys Limited,Infosys Limited,INFY,INFOSYS,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,MAXHEALTH,MAX HEALTHCARE INSTITUTE LTD,MAXHEALTH,INE027H01010,Max Healthcare Institute Limited,Max Healthcare Institute Limited,MAXHEALTH,MAX HEALTHCARE INSTITUTE,failed,2026-05-26,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction failed; weak or missing data; Matched keyword in notes: annual-report text extraction failed; weak or missing data
nifty_50_shariah,NESTLEIND,NESTLE INDIA LTD.,NESTLEIND,INE239A01024,Nestle India Limited,Nestle India Limited,NESTLEIND,NESTLE INDIA,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,ONGC,Oil & Natural Gas Corporation,ONGC,INE213A01029,Oil & Natural Gas Corporation Limited,Oil & Natural Gas Corporation Limited,ONGC,OIL AND NATURAL GAS CORPORATION,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Limited,Sun Pharmaceutical Industries Limited,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,TATACONSUM,TATA CONSUMER PRODUCTS LTD,TATACONSUM,INE192A01025,TATA CONSUMER PRODUCTS LIMITED,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,TATA CONSUMER PRODUCTS,processed,2026-05-26,curated_v2_agent_assisted,0.78,2025-2026,company_profiles.jsonl,
nifty_50_shariah,TCS,TATA CONSULTANCY SERVICES LTD.,TCS,INE467B01029,Tata Consultancy Services Limited,Tata Consultancy Services Limited,TCS,TATA CONSULTANCY SERVICES,processed,2026-05-26,curated_v2_agent_assisted,0.78,2025-2026,company_profiles.jsonl,
nifty_50_shariah,TECHM,TECH MAHINDRA LTD.,TECHM,INE669C01036,Tech Mahindra Limited,Tech Mahindra Limited,TECHM,TECH MAHINDRA,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,TMPV,Tata Motors Passenger Vehicles Limited,TMPV,INE155A01022,Tata Motors Passenger Vehicles Limited,Tata Motors Passenger Vehicles Limited,TMPV,TATA MOTORS PASSENGER VEHICLES,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,TRENT,TRENT LTD.,TRENT,INE849A01020,Trent Limited,Trent Limited,TRENT,TRENT,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
nifty_50_shariah,ULTRACEMCO,ULTRATECH CEMENT LTD.,ULTRACEMCO,INE481G01011,UltraTech Cement Limited,UltraTech Cement Limited,ULTRACEMCO,ULTRATECH CEMENT,processed,2026-05-26,curated_v2_agent_assisted,0.78,2024-2025,company_profiles.jsonl,
